0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,NaN,19,30,3,0,0,0,0,0,0,0,0,0,0,0,0
NaN,0,0,0,0,0,NaN,NaN,NaN,46,48,52,81,179,208,78,38,20,12,NaN,2,1,0,0,0,0,0,0
0,0,NaN,0,0,NaN,NaN,83,225,NaN,242,245,NaN,255,NaN,248,233,208,186,153,NaN,70,28,4,NaN,NaN,0,NaN
0,0,NaN,NaN,NaN,0,16,NaN,NaN,255,255,255,255,255,255,255,255,NaN,255,255,255,249,211,103,24,2,0,0
0,0,0,0,NaN,0,11,77,NaN,166,163,NaN,191,255,255,228,220,227,244,252,255,255,NaN,251,197,77,NaN,0
0,0,0,0,0,0,1,5,8,7,NaN,7,NaN,NaN,249,72,27,33,NaN,NaN,141,195,242,255,255,NaN,125,12
0,0,0,0,0,0,0,NaN,NaN,0,0,0,92,255,242,38,0,0,0,NaN,5,17,68,NaN,250,NaN,NaN,117
0,0,0,NaN,0,0,0,0,NaN,0,0,1,118,255,223,21,0,0,NaN,0,0,NaN,1,22,101,224,255,NaN
0,0,0,0,0,0,0,NaN,NaN,0,0,3,157,255,198,10,0,0,0,0,0,0,0,0,NaN,NaN,NaN,255
0,0,0,0,0,0,0,0,0,0,0,6,185,255,169,4,0,0,0,0,0,0,0,0,0,2,51,170
0,0,1,6,19,27,19,8,NaN,2,0,13,209,255,152,2,0,NaN,0,0,0,0,0,0,0,0,2,11
0,NaN,73,153,205,220,204,166,147,91,22,NaN,222,255,125,1,0,0,0,0,0,0,NaN,0,NaN,0,0,0
10,124,244,NaN,255,255,255,255,255,NaN,183,63,239,255,94,0,0,0,0,0,0,0,0,0,0,0,0,0
89,248,NaN,255,236,NaN,222,243,255,NaN,255,213,253,NaN,56,0,0,3,7,9,5,1,0,NaN,NaN,NaN,NaN,NaN
200,255,248,150,45,26,24,45,103,NaN,255,255,255,225,23,3,24,105,169,NaN,153,62,4,0,0,0,0,0
254,255,NaN,12,NaN,0,0,0,2,37,215,255,NaN,193,28,92,199,253,255,255,255,231,60,1,0,0,NaN,NaN
255,239,NaN,0,0,0,0,0,0,2,121,255,255,NaN,175,249,NaN,NaN,227,230,253,255,168,6,0,0,0,0
255,231,21,0,0,0,0,0,0,0,95,NaN,255,254,255,253,208,99,33,35,160,255,231,29,0,0,NaN,0
NaN,243,36,0,0,0,NaN,NaN,0,2,NaN,255,255,255,241,143,32,3,0,0,56,248,252,69,0,0,0,0
253,255,99,2,NaN,NaN,0,NaN,13,72,NaN,255,255,208,79,11,0,0,0,NaN,30,238,254,83,0,0,0,NaN
191,NaN,214,55,4,0,NaN,NaN,168,239,255,NaN,242,NaN,2,0,0,NaN,0,0,32,239,253,71,0,0,0,0
NaN,247,255,222,99,53,126,NaN,255,253,255,255,209,14,0,0,0,0,0,0,39,243,251,55,0,0,0,0
10,NaN,250,255,250,241,251,251,206,121,232,NaN,168,4,NaN,0,0,NaN,NaN,0,57,251,240,33,0,0,0,0
0,16,NaN,208,244,242,196,99,30,31,234,255,124,NaN,0,0,0,0,0,0,89,NaN,217,15,0,0,0,0
NaN,NaN,4,NaN,57,56,25,3,0,51,248,254,82,0,0,NaN,0,0,0,5,NaN,255,NaN,5,0,0,NaN,0
0,0,NaN,0,NaN,0,0,0,0,NaN,251,249,56,0,0,0,0,0,0,45,233,254,102,1,NaN,0,0,NaN
0,0,0,0,NaN,0,0,0,0,NaN,249,242,42,0,NaN,0,0,0,1,NaN,255,NaN,42,0,0,0,0,0
0,0,0,NaN,NaN,0,0,0,NaN,NaN,211,194,17,0,0,NaN,0,0,1,126,255,NaN,NaN,0,0,0,0,0
