89,68,41,20,6,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,NaN,241,NaN,166,138,120,107,90,73,NaN,NaN,NaN,28,NaN,10,8,5,3,NaN,0,0,0,0,NaN,0,0
148,162,178,194,NaN,226,239,248,251,251,254,255,254,NaN,NaN,241,231,224,214,203,186,164,143,121,NaN,NaN,54,42
0,0,NaN,NaN,4,NaN,14,NaN,27,27,35,NaN,NaN,80,91,96,109,NaN,145,166,183,203,NaN,234,246,NaN,NaN,NaN
0,0,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,0,7,NaN,142,107,22,11,21,37,49,63
0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,0,0,0,0,0,NaN,26,213,255,252,NaN,NaN,0,NaN,NaN,0
0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,9,NaN,NaN,255,182,15,0,0,0,0
0,NaN,0,0,0,NaN,0,0,0,NaN,NaN,0,0,0,0,0,0,0,8,170,255,255,180,NaN,0,0,0,0
0,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,NaN,NaN,184,255,255,155,9,0,NaN,NaN,0
NaN,NaN,0,0,NaN,0,0,0,0,0,0,1,9,NaN,74,105,120,114,NaN,232,255,NaN,130,5,NaN,0,0,0
0,NaN,0,0,0,0,0,0,2,30,108,177,NaN,249,255,253,251,254,255,NaN,255,NaN,89,2,0,0,0,NaN
0,NaN,0,0,NaN,NaN,7,58,162,240,255,249,NaN,138,77,37,27,71,216,NaN,NaN,250,83,1,0,0,0,0
0,NaN,NaN,0,5,NaN,182,248,255,239,147,48,8,1,0,0,0,2,NaN,225,246,231,88,3,0,0,0,0
0,0,NaN,NaN,149,246,NaN,232,NaN,34,2,NaN,0,0,0,0,0,NaN,2,15,NaN,NaN,4,NaN,0,NaN,0,0
0,NaN,66,203,254,NaN,171,35,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0
NaN,90,236,255,244,NaN,16,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
NaN,238,255,244,103,6,0,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,0,1,8,12,5
250,255,253,NaN,9,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN,NaN,9,NaN,157,NaN,233,198
NaN,255,213,31,0,0,0,0,0,NaN,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,NaN,176,251,255,255,255,255
NaN,NaN,191,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,33,194,255,NaN,191,214,255,255
255,255,230,50,1,0,0,0,NaN,0,0,0,0,NaN,0,0,NaN,0,0,19,NaN,254,255,NaN,75,228,255,254
239,255,255,190,44,NaN,0,0,NaN,0,0,0,0,NaN,NaN,NaN,0,0,NaN,135,253,255,240,149,222,255,237,114
50,179,251,255,234,144,54,NaN,1,0,0,NaN,0,NaN,0,0,0,3,NaN,235,NaN,255,255,255,240,167,48,3
0,9,85,198,250,255,NaN,219,169,131,107,85,77,79,94,120,150,188,238,NaN,255,NaN,174,96,30,NaN,NaN,0
0,0,0,8,NaN,118,NaN,218,241,252,254,255,NaN,255,253,247,232,NaN,NaN,255,253,115,6,0,NaN,0,0,0
0,0,0,NaN,0,0,NaN,NaN,NaN,30,45,NaN,68,61,42,23,12,101,255,255,234,45,0,0,0,0,0,NaN
0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,2,87,254,255,234,96,29,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,24,NaN,255,NaN,255,150,11,0,0,0,0
